epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1412.6,1.8454,1.2763,1.11333,0.86412,0.55942,0.64854,0.36346,1.57843,1.05973,1.06242,0.0011882,0.0011882,0.0011882
43,1445.45,1.83441,1.2819,1.11906,0.84767,0.565,0.6501,0.36101,1.59282,1.07147,1.06286,0.0011684,0.0011684,0.0011684
44,1477.47,1.82515,1.25294,1.1034,0.85372,0.5614,0.64668,0.35249,1.61935,1.06973,1.06891,0.0011486,0.0011486,0.0011486
45,1511.45,1.79957,1.23608,1.10723,0.84857,0.54332,0.63565,0.3359,1.66148,1.10708,1.07067,0.0011288,0.0011288,0.0011288
46,1544.3,1.80168,1.25346,1.10894,0.84954,0.563,0.64775,0.3566,1.62352,1.07881,1.06883,0.001109,0.001109,0.001109
47,1576.54,1.80372,1.22953,1.09911,0.85681,0.56631,0.65419,0.36665,1.57793,1.04707,1.05672,0.0010892,0.0010892,0.0010892
48,1610.59,1.7906,1.2337,1.09622,0.85469,0.57167,0.65408,0.37977,1.53559,1.04403,1.04874,0.0010694,0.0010694,0.0010694
49,1644.24,1.8188,1.25853,1.09985,0.85425,0.57153,0.65854,0.37375,1.54143,1.04065,1.04765,0.0010496,0.0010496,0.0010496
50,1679.37,1.78846,1.22806,1.09939,0.85614,0.57771,0.66123,0.38445,1.51603,1.0023,1.0441,0.0010298,0.0010298,0.0010298
51,1712,1.77502,1.21049,1.0871,0.86473,0.57032,0.66113,0.38056,1.52448,1.01053,1.03992,0.00101,0.00101,0.00101
52,1744.4,1.77148,1.21756,1.08986,0.84983,0.57752,0.6609,0.38401,1.5093,1.02218,1.04345,0.0009902,0.0009902,0.0009902
53,1778,1.76629,1.20743,1.09088,0.85272,0.57441,0.65965,0.37955,1.52698,1.00773,1.04121,0.0009704,0.0009704,0.0009704
54,1810.41,1.76227,1.1932,1.0933,0.85376,0.58316,0.66534,0.38212,1.54432,1.01647,1.04559,0.0009506,0.0009506,0.0009506
55,1843.81,1.77643,1.22257,1.10028,0.86483,0.58005,0.66617,0.39291,1.48452,0.9939,1.03792,0.0009308,0.0009308,0.0009308
56,1876.7,1.74893,1.17986,1.08244,0.86354,0.57489,0.66272,0.36145,1.58048,1.01714,1.04487,0.000911,0.000911,0.000911
57,1909.09,1.72517,1.17755,1.08304,0.86725,0.58736,0.67141,0.39906,1.47194,0.96881,1.03246,0.0008912,0.0008912,0.0008912
58,1943.06,1.74782,1.17731,1.08182,0.86709,0.58694,0.67495,0.39341,1.48333,0.98404,1.03068,0.0008714,0.0008714,0.0008714
59,1975.73,1.75003,1.18258,1.0866,0.87248,0.59126,0.67416,0.40234,1.4597,0.97106,1.02809,0.0008516,0.0008516,0.0008516
60,2008.2,1.71917,1.16515,1.07978,0.87425,0.58817,0.67839,0.40077,1.46603,0.9639,1.02328,0.0008318,0.0008318,0.0008318
61,2042.11,1.69398,1.14612,1.07224,0.86665,0.59605,0.68107,0.40214,1.47458,0.96208,1.02608,0.000812,0.000812,0.000812
62,2074.76,1.74918,1.17898,1.08629,0.87439,0.59366,0.67891,0.41021,1.42842,0.93956,1.02296,0.0007922,0.0007922,0.0007922
63,2108.79,1.72975,1.15816,1.07382,0.88063,0.59581,0.68305,0.40819,1.44929,0.94633,1.02294,0.0007724,0.0007724,0.0007724
64,2141.53,1.71246,1.16433,1.08271,0.87993,0.59534,0.6854,0.40424,1.45189,0.94523,1.01792,0.0007526,0.0007526,0.0007526
65,2173.98,1.72978,1.15806,1.07815,0.87745,0.59718,0.68561,0.41339,1.43002,0.94046,1.01351,0.0007328,0.0007328,0.0007328
66,2207.6,1.71675,1.158,1.07629,0.88212,0.599,0.68811,0.40999,1.43681,0.94381,1.01252,0.000713,0.000713,0.000713
67,2240.19,1.67671,1.13528,1.06255,0.88235,0.60199,0.6897,0.42136,1.41511,0.91909,1.01348,0.0006932,0.0006932,0.0006932
68,2273.42,1.69846,1.12676,1.07088,0.88434,0.60211,0.69075,0.40488,1.46232,0.93392,1.01616,0.0006734,0.0006734,0.0006734
69,2306.95,1.68561,1.12458,1.06447,0.88573,0.60698,0.6926,0.41748,1.42976,0.91464,1.01463,0.0006536,0.0006536,0.0006536
70,2339.77,1.68474,1.1258,1.06972,0.89623,0.60457,0.69586,0.42012,1.4055,0.90937,1.0063,0.0006338,0.0006338,0.0006338
71,2373.75,1.67736,1.12647,1.06703,0.88179,0.60427,0.69457,0.41675,1.41281,0.91481,1.00222,0.000614,0.000614,0.000614
72,2406.33,1.64075,1.09012,1.04934,0.88476,0.6095,0.6968,0.41575,1.42882,0.91207,1.01072,0.0005942,0.0005942,0.0005942
73,2439.17,1.64994,1.09607,1.05417,0.89651,0.60787,0.69825,0.42825,1.38426,0.88941,0.99912,0.0005744,0.0005744,0.0005744
74,2473.53,1.66578,1.09873,1.0598,0.88176,0.61254,0.69901,0.42581,1.3846,0.90152,0.99973,0.0005546,0.0005546,0.0005546
75,2506.29,1.66094,1.10933,1.05928,0.8909,0.61818,0.70324,0.43642,1.36781,0.87905,0.99692,0.0005348,0.0005348,0.0005348
76,2539.98,1.65929,1.11397,1.05673,0.88841,0.61362,0.70195,0.42967,1.38045,0.89333,0.99829,0.000515,0.000515,0.000515
77,2572.87,1.62732,1.07579,1.04801,0.89049,0.61362,0.70282,0.43486,1.36855,0.88417,0.99652,0.0004952,0.0004952,0.0004952
78,2605.47,1.64989,1.09387,1.05603,0.89336,0.61716,0.70429,0.43921,1.34768,0.86736,0.99274,0.0004754,0.0004754,0.0004754
79,2639.87,1.67416,1.10721,1.05602,0.88982,0.61296,0.70166,0.42578,1.38811,0.89598,0.99576,0.0004556,0.0004556,0.0004556
80,2672.2,1.63517,1.08274,1.04816,0.89068,0.61946,0.70525,0.44229,1.34017,0.86909,0.98901,0.0004358,0.0004358,0.0004358
81,2706.09,1.61931,1.07393,1.04689,0.88362,0.61884,0.70451,0.4274,1.38498,0.88511,0.99307,0.000416,0.000416,0.000416
82,2739.06,1.62495,1.06678,1.04444,0.89865,0.61926,0.7086,0.44324,1.33863,0.86115,0.98656,0.0003962,0.0003962,0.0003962
83,2772.42,1.64372,1.08787,1.05701,0.88815,0.62268,0.70771,0.43747,1.35737,0.87497,0.98982,0.0003764,0.0003764,0.0003764
84,2806.72,1.61645,1.07049,1.04818,0.89622,0.61716,0.70789,0.44459,1.32625,0.85683,0.9863,0.0003566,0.0003566,0.0003566
85,2839.17,1.59749,1.05967,1.03923,0.89532,0.62052,0.70834,0.44514,1.3362,0.85953,0.98784,0.0003368,0.0003368,0.0003368
86,2872.69,1.61079,1.06107,1.04769,0.89044,0.62496,0.70989,0.4472,1.32171,0.84642,0.98459,0.000317,0.000317,0.000317
87,2906.01,1.62881,1.07225,1.04274,0.8804,0.62382,0.70672,0.41876,1.41956,0.88676,0.9957,0.0002972,0.0002972,0.0002972
88,2938.76,1.60906,1.06247,1.03984,0.89431,0.62316,0.71093,0.43939,1.34955,0.8597,0.98398,0.0002774,0.0002774,0.0002774
89,2972.65,1.60143,1.05575,1.04119,0.89211,0.62321,0.71002,0.43636,1.36622,0.86076,0.98729,0.0002576,0.0002576,0.0002576
90,3005.34,1.59592,1.03661,1.03713,0.89874,0.62688,0.71458,0.4476,1.32595,0.84695,0.98116,0.0002378,0.0002378,0.0002378
91,3040.72,1.55813,1.02396,1.04577,0.88554,0.62831,0.71171,0.43858,1.36297,0.8638,0.98769,0.000218,0.000218,0.000218
92,3072.63,1.56598,1.02563,1.05203,0.89716,0.62286,0.71196,0.44593,1.32602,0.85006,0.98205,0.0001982,0.0001982,0.0001982
93,3104.77,1.53117,1.01413,1.04138,0.89583,0.62705,0.71456,0.45322,1.30127,0.83718,0.97602,0.0001784,0.0001784,0.0001784
94,3137.74,1.53115,1.00703,1.04201,0.90531,0.62903,0.71738,0.45816,1.2868,0.82622,0.97412,0.0001586,0.0001586,0.0001586
95,3169.69,1.5108,0.98836,1.03327,0.90404,0.63017,0.71807,0.46124,1.27978,0.82255,0.97282,0.0001388,0.0001388,0.0001388
96,3205.95,1.53175,1.01272,1.04529,0.90341,0.63017,0.71851,0.46016,1.28494,0.82245,0.9728,0.000119,0.000119,0.000119
97,3240.63,1.501,0.98418,1.03408,0.90478,0.62939,0.71817,0.45163,1.31247,0.83348,0.97623,9.92e-05,9.92e-05,9.92e-05
98,3275.74,1.47477,0.96181,1.02142,0.90406,0.63279,0.71991,0.46478,1.26444,0.81369,0.96892,7.94e-05,7.94e-05,7.94e-05
99,3308.44,1.49301,0.9839,1.03066,0.9013,0.63239,0.72031,0.46253,1.27551,0.82011,0.96913,5.96e-05,5.96e-05,5.96e-05
100,3342.53,1.47673,0.96786,1.02207,0.90958,0.63035,0.72061,0.46595,1.26278,0.81391,0.96751,3.98e-05,3.98e-05,3.98e-05
