epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1473.09,1.59372,1.03148,1.03296,0.90017,0.63683,0.7269,0.44343,1.38125,0.83566,0.99174,0.0011882,0.0011882,0.0011882
43,1508.34,1.59602,1.03802,1.03903,0.89751,0.63581,0.72518,0.45205,1.34231,0.83147,0.98122,0.0011684,0.0011684,0.0011684
44,1543.33,1.58135,1.01415,1.02646,0.90694,0.63521,0.72625,0.45221,1.32956,0.82782,0.9791,0.0011486,0.0011486,0.0011486
45,1579.96,1.55488,0.99487,1.03049,0.90373,0.63359,0.72161,0.41694,1.45523,0.8585,1.00151,0.0011288,0.0011288,0.0011288
46,1615.09,1.56675,1.0127,1.03483,0.90636,0.63726,0.72806,0.44707,1.36933,0.83231,0.9866,0.001109,0.001109,0.001109
47,1650.29,1.57412,1.00423,1.02761,0.91651,0.63647,0.72815,0.45399,1.336,0.81862,0.97893,0.0010892,0.0010892,0.0010892
48,1685.11,1.56013,1.00293,1.02194,0.90426,0.64106,0.72617,0.45507,1.33037,0.83717,0.98017,0.0010694,0.0010694,0.0010694
49,1722.17,1.57569,1.01645,1.02638,0.91029,0.64123,0.72809,0.46212,1.29421,0.81026,0.96841,0.0010496,0.0010496,0.0010496
50,1757.11,1.5624,1.00767,1.02749,0.90735,0.6483,0.7316,0.46942,1.28074,0.80343,0.96989,0.0010298,0.0010298,0.0010298
51,1794.54,1.54142,0.99068,1.01374,0.91228,0.64289,0.73416,0.46557,1.28748,0.79504,0.96645,0.00101,0.00101,0.00101
52,1828.68,1.55105,0.98774,1.02136,0.90267,0.65002,0.73475,0.46859,1.28932,0.78874,0.96912,0.0009902,0.0009902,0.0009902
53,1865.54,1.54518,0.9902,1.02249,0.91136,0.6475,0.73544,0.46798,1.28688,0.79693,0.96761,0.0009704,0.0009704,0.0009704
54,1900.92,1.53018,0.98018,1.02269,0.90956,0.64762,0.7352,0.46808,1.29337,0.79994,0.97081,0.0009506,0.0009506,0.0009506
55,1936.64,1.5523,1.00193,1.02814,0.9063,0.64864,0.73387,0.46892,1.27434,0.79741,0.96547,0.0009308,0.0009308,0.0009308
56,1972.3,1.53238,0.97282,1.01657,0.9133,0.64553,0.73323,0.44507,1.35788,0.8128,0.9776,0.000911,0.000911,0.000911
57,2007.15,1.51698,0.97434,1.01861,0.91302,0.65068,0.73779,0.47984,1.25279,0.78266,0.96055,0.0008912,0.0008912,0.0008912
58,2043.13,1.52551,0.97284,1.01467,0.9101,0.65392,0.73973,0.4747,1.26097,0.77956,0.96434,0.0008714,0.0008714,0.0008714
59,2077.89,1.5449,0.98286,1.02349,0.90474,0.65104,0.73558,0.47522,1.26599,0.78822,0.96528,0.0008516,0.0008516,0.0008516
60,2113.85,1.52543,0.96842,1.01733,0.91773,0.6532,0.74045,0.47752,1.25688,0.77826,0.95805,0.0008318,0.0008318,0.0008318
61,2148.03,1.48448,0.94983,1.00674,0.91334,0.65661,0.74403,0.48476,1.24184,0.76506,0.95673,0.000812,0.000812,0.000812
62,2183.49,1.53876,0.97351,1.0196,0.91309,0.66079,0.74502,0.48466,1.2305,0.76024,0.95651,0.0007922,0.0007922,0.0007922
63,2219.48,1.5178,0.96301,1.00952,0.92078,0.65787,0.74406,0.4856,1.22931,0.76462,0.95512,0.0007724,0.0007724,0.0007724
