epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1553.58,1.59345,1.03256,1.03349,0.90041,0.63857,0.72652,0.44719,1.3524,0.83168,0.9861,0.0011882,0.0011882,0.0011882
43,1590.8,1.59348,1.03643,1.03949,0.89937,0.64216,0.72764,0.45695,1.32664,0.82758,0.97954,0.0011684,0.0011684,0.0011684
44,1629.23,1.57655,1.01268,1.02487,0.90137,0.63923,0.72668,0.44893,1.34726,0.83764,0.98502,0.0011486,0.0011486,0.0011486
45,1666.25,1.55412,0.99955,1.03033,0.9056,0.63389,0.72256,0.43275,1.39613,0.84215,0.98828,0.0011288,0.0011288,0.0011288
46,1701.06,1.55813,1.01047,1.03172,0.89582,0.64048,0.72495,0.44468,1.37197,0.83935,0.98836,0.001109,0.001109,0.001109
47,1738.14,1.57007,1.00556,1.02609,0.91423,0.63743,0.72714,0.45942,1.3123,0.81614,0.97482,0.0010892,0.0010892,0.0010892
48,1774.14,1.56093,1.00505,1.02216,0.90447,0.63869,0.7243,0.45268,1.3324,0.84353,0.98077,0.0010694,0.0010694,0.0010694
49,1810.78,1.58036,1.0181,1.02863,0.90657,0.64464,0.73005,0.46235,1.30026,0.80983,0.97242,0.0010496,0.0010496,0.0010496
50,1846.33,1.56087,1.00642,1.02793,0.91352,0.64276,0.73012,0.46647,1.29132,0.80833,0.9735,0.0010298,0.0010298,0.0010298
51,1883.72,1.54595,0.99486,1.01601,0.907,0.64798,0.7337,0.46311,1.29765,0.7986,0.97025,0.00101,0.00101,0.00101
52,1919.7,1.55135,0.98914,1.02353,0.90318,0.65164,0.73608,0.466,1.29538,0.79272,0.97089,0.0009902,0.0009902,0.0009902
53,1957.12,1.54195,0.98849,1.02211,0.90136,0.65477,0.73542,0.46963,1.27829,0.79392,0.96776,0.0009704,0.0009704,0.0009704
54,1993.67,1.53534,0.98013,1.0238,0.90616,0.65192,0.73586,0.46499,1.3048,0.80296,0.97428,0.0009506,0.0009506,0.0009506
55,2028.2,1.55307,1.00348,1.03007,0.90763,0.64834,0.73448,0.47323,1.27147,0.79832,0.96726,0.0009308,0.0009308,0.0009308
56,2064.6,1.52932,0.97467,1.01484,0.9082,0.64588,0.73246,0.44337,1.37408,0.81892,0.98263,0.000911,0.000911,0.000911
57,2099.24,1.51846,0.97791,1.01885,0.91346,0.65191,0.73893,0.4787,1.25468,0.78721,0.96131,0.0008912,0.0008912,0.0008912
58,2135.4,1.5226,0.97433,1.01408,0.90874,0.65721,0.74181,0.47814,1.25113,0.77521,0.96259,0.0008714,0.0008714,0.0008714
59,2169.81,1.54339,0.98115,1.02228,0.90561,0.65422,0.73888,0.47991,1.24925,0.78113,0.96243,0.0008516,0.0008516,0.0008516
60,2206.31,1.52432,0.96734,1.01758,0.90977,0.65386,0.7405,0.47708,1.25734,0.7754,0.95803,0.0008318,0.0008318,0.0008318
61,2241.21,1.47909,0.94835,1.00611,0.91039,0.65763,0.74388,0.48272,1.24505,0.76891,0.95778,0.000812,0.000812,0.000812
62,2279.21,1.53641,0.97231,1.01969,0.92038,0.65751,0.74414,0.4854,1.22769,0.75995,0.95646,0.0007922,0.0007922,0.0007922
63,2314.97,1.52136,0.96195,1.01,0.91679,0.65799,0.74352,0.48297,1.23609,0.76907,0.95572,0.0007724,0.0007724,0.0007724
64,2351.27,1.50217,0.96691,1.01587,0.91159,0.66025,0.74649,0.47696,1.26319,0.77278,0.95954,0.0007526,0.0007526,0.0007526
65,2385.72,1.52003,0.96456,1.01489,0.91664,0.65841,0.74563,0.48633,1.22616,0.7648,0.95246,0.0007328,0.0007328,0.0007328
66,2422.34,1.51229,0.96198,1.01361,0.91477,0.66447,0.74621,0.48111,1.24836,0.76378,0.95781,0.000713,0.000713,0.000713
67,2456.89,1.48066,0.9531,1.00514,0.91559,0.66033,0.74667,0.49287,1.20572,0.75196,0.95009,0.0006932,0.0006932,0.0006932
68,2493.44,1.5091,0.94763,1.01387,0.91802,0.66139,0.74831,0.48526,1.23497,0.75745,0.95324,0.0006734,0.0006734,0.0006734
69,2527.91,1.48846,0.9472,1.00474,0.91674,0.66152,0.74733,0.48276,1.25613,0.76175,0.95902,0.0006536,0.0006536,0.0006536
70,2562.98,1.48184,0.94277,1.00782,0.91943,0.66339,0.75154,0.49265,1.21375,0.74546,0.94931,0.0006338,0.0006338,0.0006338
71,2599.89,1.47452,0.94546,1.00679,0.91595,0.66279,0.74899,0.48646,1.22989,0.75363,0.9502,0.000614,0.000614,0.000614
72,2634.48,1.4481,0.91237,0.99316,0.92143,0.66051,0.75061,0.48327,1.25321,0.75146,0.95416,0.0005942,0.0005942,0.0005942
73,2670,1.46483,0.92679,0.9995,0.92009,0.66279,0.75101,0.4944,1.20392,0.74129,0.94462,0.0005744,0.0005744,0.0005744
74,2705.55,1.46614,0.92802,0.99918,0.91769,0.66627,0.75233,0.49388,1.20008,0.74695,0.94541,0.0005546,0.0005546,0.0005546
75,2740.82,1.47327,0.936,1.00291,0.92215,0.66615,0.75388,0.50297,1.18402,0.72852,0.94122,0.0005348,0.0005348,0.0005348
76,2776.02,1.47221,0.93985,1.00042,0.91918,0.66968,0.75321,0.49897,1.18605,0.7335,0.94205,0.000515,0.000515,0.000515
77,2812.22,1.44314,0.91286,0.99451,0.91765,0.66819,0.75417,0.498,1.19622,0.73327,0.9431,0.0004952,0.0004952,0.0004952
78,2847.31,1.46497,0.92698,1.00068,0.91725,0.66998,0.75475,0.50591,1.16068,0.72362,0.93726,0.0004754,0.0004754,0.0004754
79,2884.25,1.48073,0.93834,0.99921,0.91464,0.66837,0.75346,0.48973,1.21851,0.74342,0.94623,0.0004556,0.0004556,0.0004556
80,2923.15,1.46201,0.92458,0.99716,0.92544,0.66771,0.756,0.50833,1.16138,0.72228,0.93606,0.0004358,0.0004358,0.0004358
81,2958.02,1.43533,0.91323,0.99135,0.92354,0.66843,0.75569,0.49438,1.1994,0.7333,0.94088,0.000416,0.000416,0.000416
82,2994.49,1.44217,0.90543,0.99105,0.92015,0.67434,0.75886,0.51014,1.15721,0.71774,0.93532,0.0003962,0.0003962,0.0003962
83,3029.29,1.45085,0.91969,1.00042,0.92152,0.67214,0.75796,0.50917,1.16365,0.7211,0.93721,0.0003764,0.0003764,0.0003764
84,3066.49,1.43741,0.90935,0.99489,0.92178,0.67412,0.75723,0.51082,1.14693,0.71598,0.93354,0.0003566,0.0003566,0.0003566
85,3101.37,1.42248,0.90545,0.98699,0.92412,0.67418,0.758,0.51107,1.15596,0.71773,0.9351,0.0003368,0.0003368,0.0003368
86,3137.67,1.42706,0.90418,0.99338,0.92053,0.67512,0.75834,0.51272,1.1429,0.71122,0.93185,0.000317,0.000317,0.000317
87,3172.63,1.45029,0.91058,0.99091,0.91736,0.67352,0.75588,0.48669,1.2308,0.73635,0.9434,0.0002972,0.0002972,0.0002972
88,3209.37,1.42644,0.90547,0.98564,0.91937,0.6775,0.75969,0.50477,1.17553,0.71864,0.9347,0.0002774,0.0002774,0.0002774
89,3245.64,1.41978,0.89903,0.988,0.92631,0.6728,0.75905,0.50448,1.17249,0.71486,0.93503,0.0002576,0.0002576,0.0002576
90,3281.98,1.41742,0.88678,0.98512,0.92152,0.6791,0.76139,0.5165,1.1372,0.7078,0.92933,0.0002378,0.0002378,0.0002378
91,3318.38,1.38017,0.86907,0.99115,0.92143,0.67382,0.75779,0.50421,1.18223,0.72381,0.93689,0.000218,0.000218,0.000218
92,3353.17,1.39534,0.87066,0.99738,0.91937,0.67342,0.75734,0.50959,1.15015,0.7115,0.93242,0.0001982,0.0001982,0.0001982
93,3385.87,1.36381,0.85586,0.98938,0.91844,0.6773,0.76044,0.51397,1.13996,0.70502,0.92962,0.0001784,0.0001784,0.0001784
94,3419.47,1.35971,0.8592,0.98882,0.92615,0.67502,0.76123,0.51622,1.1298,0.70102,0.92827,0.0001586,0.0001586,0.0001586
95,3453.9,1.34042,0.84031,0.98206,0.92504,0.67676,0.76182,0.52019,1.11982,0.69561,0.92621,0.0001388,0.0001388,0.0001388
96,3487.13,1.35846,0.85674,0.99026,0.92172,0.67917,0.76233,0.52027,1.11876,0.69318,0.92555,0.000119,0.000119,0.000119
97,3522.21,1.33825,0.83703,0.98415,0.92051,0.68006,0.7618,0.51722,1.12546,0.6954,0.92672,9.92e-05,9.92e-05,9.92e-05
98,3555.37,1.30407,0.81389,0.97053,0.91725,0.68259,0.76299,0.52416,1.10262,0.68757,0.92279,7.94e-05,7.94e-05,7.94e-05
99,3591.64,1.3266,0.83706,0.98115,0.92461,0.68054,0.76282,0.52242,1.11059,0.69046,0.92376,5.96e-05,5.96e-05,5.96e-05
100,3625.45,1.31278,0.82509,0.97383,0.92372,0.68132,0.76364,0.52577,1.09991,0.68682,0.92235,3.98e-05,3.98e-05,3.98e-05
